---,AIKHomoG,BasicTeam,BrianTeam,BriSpec,CDTeamHetero,CommTeam,DaveHeteroG,DoogHeteroG,DoogHomoG,DTeam,FemmeBotsHeteroG,GoToBall,JunTeamHeteroG,Kechze,LoneForwardTeamHomoG,MattiHetero,PermHomoG,SchemaDemo,SchemaNewHetero,SibHeteroG
AIKHomoG,x,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1
BasicTeam,-1,x,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
BrianTeam,-1,1,x,-1,1,1,-1,-1,-1,-1,0,0,1,0,-1,0,-1,-1,-1,-1
BriSpec,-1,1,1,x,1,1,-1,-1,-1,0,0,0,1,-1,0,1,0,1,1,0
CDTeamHetero,-1,1,-1,-1,x,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,0,-1,-1
CommTeam,-1,-1,-1,-1,-1,x,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
DaveHeteroG,-1,1,1,1,1,1,x,-1,-1,-1,0,0,1,-1,1,1,0,-1,-1,-1
DoogHeteroG,-1,1,1,1,1,1,1,x,-1,1,1,1,1,1,0,1,0,-1,-1,0
DoogHomoG,-1,1,1,1,1,1,1,1,x,1,1,1,1,1,-1,1,1,-1,-1,1
DTeam,-1,1,1,0,1,1,1,-1,-1,x,1,1,1,-1,-1,1,1,-1,-1,0
FemmeBotsHeteroG,-1,1,0,0,-1,1,0,-1,-1,-1,x,1,1,0,1,1,1,-1,-1,0
GoToBall,-1,-1,0,0,-1,-1,0,-1,-1,-1,-1,x,1,-1,-1,1,-1,-1,-1,-1
JunTeamHeteroG,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,x,-1,-1,1,-1,0,-1,-1
Kechze,-1,1,0,1,1,1,1,-1,-1,1,0,1,1,x,1,1,-1,-1,-1,-1
LoneForwardTeamHomoG,-1,1,1,0,1,1,-1,0,1,1,-1,1,1,-1,x,1,0,-1,-1,-1
MattiHetero,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,x,0,1,-1,0
PermHomoG,-1,1,1,0,-1,1,0,0,-1,-1,-1,1,1,1,0,0,x,0,-1,0
SchemaDemo,1,1,1,-1,0,1,1,1,1,1,1,1,0,1,1,-1,0,x,-1,-1
SchemaNewHetero,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,x,0
SibHeteroG,-1,1,1,0,1,1,1,0,-1,0,0,1,1,1,1,0,0,1,0,x
